8	 280	    2.70	    2.70
26	 280	    2.70	    2.69
28	 280	    2.70	    2.69
33	 280	    2.70	    2.69
34	 280	    2.70	    2.69
4	 420	    2.70	    2.70
30	 420	    2.70	    2.69
11	 281	    2.70	    2.70
15	 281	    2.70	    2.69
28	 281	    2.70	    2.69
32	 281	    2.70	    2.69
4	 421	    2.70	    2.70
5	 421	    2.70	    2.70
38	 421	    2.70	    2.69
39	 421	    2.70	    2.69
16	 282	    2.70	    2.70
20	 282	    2.70	    2.69
14	 422	    2.70	    2.70
16	 422	    2.70	    2.70
14	 283	    2.70	    2.70
15	 283	    2.70	    2.69
29	 283	    2.70	    2.69
31	 283	    2.70	    2.69
38	 283	    2.70	    2.69
39	 283	    2.70	    2.69
7	 423	    2.70	    2.70
10	 423	    2.70	    2.70
37	 423	    2.70	    2.69
4	 284	    2.70	    2.70
12	 284	    2.70	    2.70
31	 284	    2.70	    2.69
32	 284	    2.70	    2.69
34	 424	    2.70	    2.69
9	 285	    2.70	    2.69
25	 285	    2.70	    2.69
11	 425	    2.70	    2.70
14	 425	    2.70	    2.70
34	 425	    2.70	    2.69
35	 425	    2.70	    2.69
0	 286	    2.70	    2.70
21	 286	    2.70	    2.69
22	 286	    2.70	    2.69
29	 286	    2.70	    2.69
26	 426	    2.70	    2.69
28	 426	    2.70	    2.69
29	 426	    2.70	    2.69
37	 426	    2.70	    2.69
6	 287	    2.70	    2.70
14	 287	    2.70	    2.70
20	 287	    2.70	    2.69
3	 427	    2.70	    2.69
36	 427	    2.70	    2.69
38	 427	    2.70	    2.69
8	 288	    2.70	    2.70
11	 288	    2.70	    2.70
32	 288	    2.70	    2.69
37	 288	    2.70	    2.69
7	 428	    2.70	    2.70
18	 428	    2.70	    2.70
19	 428	    2.70	    2.70
34	 428	    2.70	    2.69
5	 289	    2.70	    2.70
13	 429	    2.70	    2.70
18	 429	    2.70	    2.70
4	 290	    2.70	    2.70
16	 290	    2.70	    2.70
39	 290	    2.70	    2.69
7	 430	    2.70	    2.70
19	 430	    2.70	    2.70
23	 430	    2.70	    2.69
36	 430	    2.70	    2.69
11	 291	    2.70	    2.70
31	 291	    2.70	    2.69
39	 291	    2.70	    2.69
11	 431	    2.70	    2.70
21	 431	    2.70	    2.69
27	 431	    2.70	    2.69
8	 292	    2.70	    2.70
5	 293	    2.70	    2.70
16	 293	    2.70	    2.70
33	 293	    2.70	    2.69
10	 433	    2.70	    2.70
21	 433	    2.70	    2.69
29	 433	    2.70	    2.69
13	 294	    2.70	    2.70
5	 434	    2.70	    2.70
9	 434	    2.70	    2.69
29	 434	    2.70	    2.69
4	 435	    2.70	    2.70
6	 435	    2.70	    2.69
17	 435	    2.70	    2.70
30	 435	    2.70	    2.69
20	 296	    2.70	    2.69
23	 296	    2.70	    2.69
25	 296	    2.70	    2.69
31	 296	    2.70	    2.69
2	 436	    2.70	    2.70
15	 436	    2.70	    2.69
1	 297	    2.70	    2.70
7	 297	    2.70	    2.70
11	 297	    2.70	    2.70
